,datadate,conm,tic,prccd
326,2008-11-06,VANGUARD FTSE DEVEL MKTS ETF,VEA,26.35
327,2008-11-07,VANGUARD FTSE DEVEL MKTS ETF,VEA,27.96
328,2008-11-10,VANGUARD FTSE DEVEL MKTS ETF,VEA,27.59
329,2008-11-11,VANGUARD FTSE DEVEL MKTS ETF,VEA,26.55
330,2008-11-12,VANGUARD FTSE DEVEL MKTS ETF,VEA,25.16
331,2008-11-13,VANGUARD FTSE DEVEL MKTS ETF,VEA,27.06
332,2008-11-14,VANGUARD FTSE DEVEL MKTS ETF,VEA,25.68
333,2008-11-17,VANGUARD FTSE DEVEL MKTS ETF,VEA,25.27
334,2008-11-18,VANGUARD FTSE DEVEL MKTS ETF,VEA,25.33
335,2008-11-19,VANGUARD FTSE DEVEL MKTS ETF,VEA,23.7
336,2008-11-20,VANGUARD FTSE DEVEL MKTS ETF,VEA,22.49
337,2008-11-21,VANGUARD FTSE DEVEL MKTS ETF,VEA,23.72
338,2008-11-24,VANGUARD FTSE DEVEL MKTS ETF,VEA,25.51
339,2008-11-25,VANGUARD FTSE DEVEL MKTS ETF,VEA,25.85
340,2008-11-26,VANGUARD FTSE DEVEL MKTS ETF,VEA,26.18
341,2008-11-28,VANGUARD FTSE DEVEL MKTS ETF,VEA,26.09
342,2008-12-01,VANGUARD FTSE DEVEL MKTS ETF,VEA,23.94
343,2008-12-02,VANGUARD FTSE DEVEL MKTS ETF,VEA,25.25
344,2008-12-03,VANGUARD FTSE DEVEL MKTS ETF,VEA,25.5
345,2008-12-04,VANGUARD FTSE DEVEL MKTS ETF,VEA,24.76
346,2008-12-05,VANGUARD FTSE DEVEL MKTS ETF,VEA,25.26
347,2008-12-08,VANGUARD FTSE DEVEL MKTS ETF,VEA,26.3
